name,rating,reviews,address,website,type,lat,lng
Walmart Supercentre,3.3,1495,"805 Boyd St, New Westminster, BC V3M 5G7, Canada",https://www.walmart.ca/en/stores-near-me/new-westminster-supercentre-5777?utm_source=local&utm_medium=listings&utm_campaign=sc&cmpid=gmb,"department_store, supermarket, clothing_store, furniture_store, home_goods_store, grocery_or_supermarket, electronics_store, food, point_of_interest, store, establishment",49.1917364,-122.9508853
AX Armani Exchange,3.8,128,"4700 Kingsway Suite 2173, Burnaby, BC V5H 4M1, Canada",https://locations.armani.com/ax-armani-exchange/canada/ax-armani-exchange-burnaby-metropolis-at-metrotown,"clothing_store, point_of_interest, store, establishment",49.2264626,-123.0006755
Marimekko Vancouver,4.4,31,"851 Homer St B, Vancouver, BC V6B 0H4, Canada",https://marimekkovancouver.com/,"clothing_store, point_of_interest, store, establishment",49.2789794,-123.1178764
"Toys""R""Us",3.9,734,"1154-1174 W Broadway, Vancouver, BC V6H 1G5, Canada",https://www.toysrus.ca/en/storelocator?utm_source=Google&utm_medium=lpm&utm_campaign=toysrus,"book_store, clothing_store, point_of_interest, store, establishment",49.2632717,-123.13058
Foot Locker,3.6,131,"2929 Barnet Hwy #1406, Coquitlam, BC V3B 5R5, Canada",https://stores.footlocker.ca/en/bc/coquitlam/2929-barnet-highway-99007.html,"shoe_store, clothing_store, point_of_interest, store, establishment",49.2792623,-122.7990885
Urban Planet,3.9,366,"4700, 4800 Kingsway Unit #M35 Unit #M35, Burnaby, BC V5H 4J2, Canada",https://urban-planet.com/collections/up_new_shop-all-new?utm_source=GMB,"clothing_store, shoe_store, point_of_interest, store, establishment",49.2258103,-122.9971568
Urban Planet,4,150,"935 Marine Dr Unit #1 & 3, North Vancouver, BC V7P 1S2, Canada",https://urban-planet.com/collections/up_new_shop-all-new?utm_source=GMB,"clothing_store, shoe_store, store, point_of_interest, establishment",49.3222403,-123.1006167
Urban Planet,3.9,384,"10153 King George Blvd Unit #204/206, Surrey, BC V3T 2W1, Canada",https://urban-planet.com/collections/up_new_shop-all-new?utm_source=GMB,"clothing_store, shoe_store, point_of_interest, store, establishment",49.186455,-122.847641
Hudson's Bay,3.9,1711,"6060 Minoru Blvd, Richmond, BC V6Y 1Y2, Canada",https://www.thebay.com/,"store, shoe_store, clothing_store, point_of_interest, department_store, establishment",49.1691639,-123.1384592
Dynamite,3.4,123,"4700 Kingsway #2304, Burnaby, BC V5H 4P2, Canada",https://www.dynamiteclothing.com/ca?utm_source=google&utm_medium=local&utm_campaign=gmb,"clothing_store, store, point_of_interest, establishment",49.22706479999999,-122.9992889
Hudson's Bay,3.8,722,"650 W 41st Ave, Vancouver, BC V5Z 2M9, Canada",https://www.thebay.com/,"department_store, shoe_store, clothing_store, store, point_of_interest, establishment",49.23251150000001,-123.119755
Hudson's Bay,3.9,4759,"674 Granville St, Vancouver, BC V6C 1Z6, Canada",https://www.thebay.com/,"store, department_store, shoe_store, clothing_store, furniture_store, point_of_interest, home_goods_store, establishment",49.2825186,-123.1177469
Arc'teryx Equipment Inc. Corporate Headquarters,3.5,138,"2220 Dollarton Hwy #110, North Vancouver, BC V7H 1A8, Canada",http://www.arcteryx.com/,"clothing_store, point_of_interest, store, establishment",49.3061758,-123.013317
Sports Junkies Clearance Center,4,1158,"102 W Broadway, Vancouver, BC V5Y 1P3, Canada",http://www.sportsjunkies.com/,"clothing_store, point_of_interest, store, establishment",49.2628835,-123.1070967
Tommy Bahama,4.6,37,"2002 Park Royal S Suite 982, West Vancouver, BC V7T 2W4, Canada",https://www.tommybahama.com/store/Park%20Royal,"clothing_store, point_of_interest, store, establishment",49.325259,-123.1374005
