name,rating,reviews,address,website,type,lat,lng
Jeff Hershberg Criminal Lawyer Toronto,4.8,12,"36 Lombard St #100, Toronto, ON M5C 2X3, Canada",https://www.hershberglaw.ca/,"lawyer, point_of_interest, establishment",43.651778,-79.37627599999999
TM Law Professional Corporation,4.3,87,"# 507, 7900 Hurontario St, Brampton, ON L6Y 0P6, Canada",http://www.tmlaw.ca/,"lawyer, point_of_interest, establishment",43.6640934,-79.73170619999999
Demitchev Igor,2.6,5,"1000 Finch Ave W, North York, ON M3J 2V5, Canada",http://www.igordemitchevlaw.com/,"lawyer, point_of_interest, establishment",43.7688904,-79.4685556
Bell Temple LLP,3.8,5,"70 York St Suite 900, Toronto, ON M5J 1S9, Canada",https://belltemple.com/,"lawyer, point_of_interest, establishment",43.64676310000001,-79.3832652
Ellen Nightingale,4.8,5,"133 Lowther Ave, Toronto, ON M5R 1E4, Canada",http://www.ellennightingale.com/,"lawyer, point_of_interest, establishment",43.66921960000001,-79.4028364
Lakhani Law,5,3,"500 Hood Rd Suite 400, Markham, ON L3R 9Z3, Canada",,"lawyer, point_of_interest, establishment",43.83219930000001,-79.3302814
Vakili Law Group,,,"1000 Finch Ave W, North York, ON M3J 2V5, Canada",,"lawyer, point_of_interest, establishment",43.7688904,-79.4685556
Szemplinski Law Offices,5,2,"34 Lakeshore Rd E #104, Mississauga, ON L5G 1C8, Canada",http://www.sslaw.ca/,"lawyer, finance, point_of_interest, establishment",43.5520394,-79.5854762
DreamCrest Dental Care,4.1,35,"1010 Dream Crest Rd, Mississauga, ON L5V 3A4, Canada",http://www.keepsmiling.ca/,"dentist, health, point_of_interest, establishment",43.5906333,-79.67963329999999
"Now Located at Toothworks King-York Dental (121 King St W Unit B113, Toronto, ON)",4.7,22,"121 King St W, Toronto, ON M5H 3T9, Canada",https://www.dentalhousescotiaplaza.ca/,"dentist, health, point_of_interest, establishment",43.6476464,-79.383028
Endodontic Specialists - Bay Street,4.2,75,"1235 Bay St. Suite 201, Toronto, ON M5R 3K4, Canada",https://www.rootcanals.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,"dentist, point_of_interest, health, establishment",43.670886,-79.389679
Warden Eglinton Dental Centre,4.4,72,"8g, 1921 Eglinton Ave E, Scarborough, ON M1L 2L6, Canada",http://wedental.ca/,"dentist, point_of_interest, health, establishment",43.7269574,-79.2876821
The Dental and Denture Office,4.7,34,"1235 Trafalgar Rd #201, Oakville, ON L6H 3P1, Canada",http://www.dentalanddentureoffice.ca/,"dentist, health, point_of_interest, establishment",43.4675258,-79.6904455
Adam Jonathan Dr,5,12,"1867 Yonge St #402, Toronto, ON M4S 1Y5, Canada",,"dentist, health, point_of_interest, establishment",43.6972234,-79.3959077
Dundas Tower Dental Center,4.6,99,"165 Dundas St W #802, Mississauga, ON L5B 2N6, Canada",,"dentist, health, point_of_interest, establishment",43.57715899999999,-79.6204769
